Sample ID,Well,ITS_per_ul,core_type,seq_id_raw,seq_id,Material
SA1Inner,D02,30268132,Inner,SA1,SA1,Wood
H4Inner,D03,33347677,Inner,H4,H4,Wood
HZ1Inner,D04,Undetected,Inner,HZ1,HZ1,Wood
None,D05,,None,,,Wood
YB9Outer,D06,34374269,Outer,YB9,YB9,Wood
BB13Outer,D07,27545502,Outer,BB13,BB13,Wood
None,D08,,None,,,Wood
None,D09,,None,,,Wood
None,D10,,None,,,Wood
None,D11,,None,,,Wood
None,D12,,None,,,Wood
RO13Inner,E01,24576951,Inner,RO13,RO13,Wood
H101Inner,E02,33347677,Inner,H101,H101,Wood
H5Inner,E03,29132828,Inner,H5,H5,Wood
None,E04,,None,,,Wood
None,E05,,None,,,Wood
None,E06,,None,,,Wood
BB14Outer,E07,29228998,Outer,BB14,BB14,Wood
None,E08,,None,,,Wood
None,E09,,None,,,Wood
None,E10,,None,,,Wood
None,E11,,None,,,Wood
None,E12,,None,,,Wood
RO2Inner,F01,25856509,Inner,RO2,RO2,Wood
H102Inner,F02,32501359,Inner,H102,H102,Wood
None,F03,,None,,,Wood
None,F04,,None,,,Wood
None,F05,,None,,,Wood
None,F06,,None,,,Wood
BB16Outer,F07,29190492,Outer,BB16,BB16,Wood
None,F08,,None,,,Wood
None,F09,,None,,,Wood
None,F10,,None,,,Wood
None,F11,,None,,,Wood
None,F12,,None,,,Wood
None,G01,,None,,,Wood
H103Inner,G02,Undetected,Inner,H103,H103,Wood
H9Inner,G03,Undetected,Inner,H9,H9,Wood
None,G04,,None,,,Wood
None,G05,,None,,,Wood
BB1Outer,G06,Undetected,Outer,BB1,BB1,Wood
BB16primeOuter,G07,23085190,Outer,BB16prime,BB16',Wood
None,G08,,None,,,Wood
None,G09,,None,,,Wood
None,G10,,None,,,Wood
None,G11,,None,,,Wood
None,G12,,None,,,Wood
RO7Inner,H01,Undetected,Inner,RO7,RO7,Wood
None,H02,,None,,,Wood
HX2Inner,H03,Undetected,Inner,HX2,HX2,Wood
None,H04,,None,,,Wood
None,H05,,None,,,Wood
BB10Outer,H06,27855892,Outer,BB10,BB10,Wood
BB3Outer,H07,Undetected,Outer,BB3,BB3,Wood
None,H08,,None,,,Wood
None,H09,,None,,,Wood
None,H10,,None,,,Wood
None,H11,,None,,,Wood
None,H12,,None,,,Wood
None,A01,,None,,,Wood
YB5Organic,A02,188,Organic,YB5,YB5,Soil
BB12Organic,A03,1884,Organic,BB12,BB12,Soil
BB7Organic,A04,202,Organic,BB7,BB7,Soil
PB2Organic,A05,13,Organic,PB2,PB2,Soil
AB11Organic,A06,8,Organic,AB11,AB11,Soil
AB6Organic,A07,3,Organic,AB6,AB6,Soil
None,A08,,None,,,Soil
WA5Organic,A09,0,Organic,WA5,WA5,Soil
WP3Organic,A10,140,Organic,WP3,WP3,Soil
WP8Organic,A11,183,Organic,WP8,WP8,Soil
BC2Organic,A12,47,Organic,BC2,BC2,Soil
None,B01,,None,,,Soil
YB9Organic,B02,642,Organic,YB9,YB9,Soil
BB13Organic,B03,325,Organic,BB13,BB13,Soil
BB8Organic,B04,147,Organic,BB8,BB8,Soil
PB3Organic,B05,158,Organic,PB3,PB3,Soil
AB2Organic,B06,965,Organic,AB2,AB2,Soil
AB6primeOrganic,B07,395,Organic,AB6prime,AB6',Soil
None,B08,,None,,,Soil
None,B09,,None,,,Soil
WP4Organic,B10,721,Organic,WP4,WP4,Soil
WP9Organic,B11,502,Organic,WP9,WP9,Soil
BC4Organic,B12,446,Organic,BC4,BC4,Soil
YB13Organic,C01,280,Organic,YB13,YB13,Soil
None,C02,,None,,,Soil
BB14Organic,C03,344,Organic,BB14,BB14,Soil
BB9Organic,C04,1207,Organic,BB9,BB9,Soil
PB4Organic,C05,546,Organic,PB4,PB4,Soil
None,C06,,None,,,Soil
AB9Organic,C07,488,Organic,AB9,AB9,Soil
None,C08,,None,,,Soil
ML2Organic,C09,881,Organic,ML2,ML2,Soil
WP401Organic,C10,676,Organic,WP401,WP401,Soil
WPBERENICEOrganic,C11,1141,Organic,WPBERENICE,WPBERENICE,Soil
WO1Organic,C12,149,Organic,WO1,WO1,Soil
YB14Organic,D01,211,Organic,YB14,YB14,Soil
YBYBOrganic,D02,875,Organic,YBYB,YBYB,Soil
BB16Organic,D03,225,Organic,BB16,BB16,Soil
BBGT1Organic,D04,46,Organic,BBGT1,BBGT1,Soil
PB5Organic,D05,2227,Organic,PB5,PB5,Soil
AB3slash5Organic,D06,175,Organic,AB3slash5,AB3/5,Soil
ABT14POrganic,D07,622,Organic,ABT14P,ABT14P,Soil
WA104Organic,D08,62,Organic,WA104,WA104,Soil
MLGPOrganic,D09,16430,Organic,MLGP,MLGP,Soil
WP402Organic,D10,1202,Organic,WP402,WP402,Soil
WPX2Organic,D11,162,Organic,WPX2,WPX2,Soil
None,D12,,None,,,Soil
YB15Organic,E01,415,Organic,YB15,YB15,Soil
BB1Organic,E02,719,Organic,BB1,BB1,Soil
BB16primeOrganic,E03,985,Organic,BB16prime,BB16',Soil
BBX1Organic,E04,381,Organic,BBX1,BBX1,Soil
PB501Organic,E05,371,Organic,PB501,PB501,Soil
AB4Organic,E06,1388,Organic,AB4,AB4,Soil
WA1Organic,E07,74,Organic,WA1,WA1,Soil
WA12Organic,E08,1269,Organic,WA12,WA12,Soil
WP101Organic,E09,1244,Organic,WP101,WP101,Soil
WP403Organic,E10,186,Organic,WP403,WP403,Soil
None,E11,,None,,,Soil
RO1Organic,E12,343,Organic,RO1,RO1,Soil
None,F01,,None,,,Soil
BB10Organic,F02,2369,Organic,BB10,BB10,Soil
BB3Organic,F03,468,Organic,BB3,BB3,Soil
BBX6Organic,F04,2,Organic,BBX6,BBX6,Soil
SH1Organic,F05,38,Organic,SH1,SH1,Soil
AB4slash6Organic,F06,486,Organic,AB4slash6,AB4/6,Soil
WA10Organic,F07,261,Organic,WA10,WA10,Soil
None,F08,,None,,,Soil
None,F09,,None,,,Soil
WP5Organic,F10,807,Organic,WP5,WP5,Soil
WPX5Organic,F11,1333,Organic,WPX5,WPX5,Soil
RO10Organic,F12,356,Organic,RO10,RO10,Soil
YB3Organic,G01,80,Organic,YB3,YB3,Soil
BB10primeOrganic,G02,415,Organic,BB10prime,BB10',Soil
BB5Organic,G03,241,Organic,BB5,BB5,Soil
BBX7Organic,G04,56,Organic,BBX7,BBX7,Soil
AB1Organic,G05,390,Organic,AB1,AB1,Soil
AB5Organic,G06,70,Organic,AB5,AB5,Soil
WA101Organic,G07,112,Organic,WA101,WA101,Soil
None,G08,,None,,,Soil
WP103Organic,G09,201,Organic,WP103,WP103,Soil
WP6Organic,G10,1871,Organic,WP6,WP6,Soil
WPX7Organic,G11,4060,Organic,WPX7,WPX7,Soil
RO101Organic,G12,1044,Organic,RO101,RO101,Soil
YB4Organic,H01,360,Organic,YB4,YB4,Soil
BB11Organic,H02,58,Organic,BB11,BB11,Soil
BB6Organic,H03,393,Organic,BB6,BB6,Soil
PB1Organic,H04,1317,Organic,PB1,PB1,Soil
AB10Organic,H05,1482,Organic,AB10,AB10,Soil
AB501Organic,H06,202,Organic,AB501,AB501,Soil
None,H07,,None,,,Soil
WA15Organic,H08,82,Organic,WA15,WA15,Soil
WP2Organic,H09,335,Organic,WP2,WP2,Soil
WP7Organic,H10,172,Organic,WP7,WP7,Soil
BC1Organic,H11,2204,Organic,BC1,BC1,Soil
RO102Organic,H12,1442,Organic,RO102,RO102,Soil
RO103Organic,A01,7464,Organic,RO103,RO103,Soil
None,A02,,None,,,Soil
H2Organic,A03,855,Organic,H2,H2,Soil
HX3Organic,A04,3360,Organic,HX3,HX3,Soil
WA104InsideRot,A05,882,,WA104InsideRot,,Soil
WPBereniceMineral,A06,318,Mineral,WPBerenice,WPBerenice,Soil
None,A07,,None,,,Soil
None,A08,,None,,,Soil
None,A09,,None,,,Soil
None,A10,,None,,,Soil
None,A11,,None,,,Soil
None,A12,,None,,,Soil
RO104Organic,B01,858,Organic,RO104,RO104,Soil
RO9Organic,B02,2838,Organic,RO9,RO9,Soil
None,B03,,None,,,Soil
HX4Organic,B04,1037,Organic,HX4,HX4,Soil
YB10TopMuck,B05,1147,,YB10TopMuck,,Soil
RO7slash8Mineral,B06,1050,Mineral,RO7slash8,RO7/8,Soil
None,B07,,None,,,Soil
None,B08,,None,,,Soil
None,B09,,None,,,Soil
None,B10,,None,,,Soil
None,B11,,None,,,Soil
None,B12,,None,,,Soil
RO105Organic,C01,4954,Organic,RO105,RO105,Soil
BO1Organic,C02,6285,Organic,BO1,BO1,Soil
H301Organic,C03,7714,Organic,H301,H301,Soil
None,C04,,None,,,Soil
YB10BottomMuck,C05,1,,YB10BottomMuck,,Soil
RM301Organic,C06,3185,Organic,RM301,RM301,Soil
None,C07,,None,,,Soil
None,C08,,None,,,Soil
None,C09,,None,,,Soil
None,C10,,None,,,Soil
None,C11,,None,,,Soil
None,C12,,None,,,Soil
RO11Organic,D01,3801,Organic,RO11,RO11,Soil
SA1Organic,D02,667,Organic,SA1,SA1,Soil
H4Organic,D03,2536,Organic,H4,H4,Soil
HZ1Organic,D04,1475,Organic,HZ1,HZ1,Soil
YB10MicrobialGoo,D05,508,,YB10MicrobialGoo,,Soil
SM15Organic,D06,752,Organic,SM15,SM15,Soil
None,D07,,None,,,Soil
None,D08,,None,,,Soil
None,D09,,None,,,Soil
None,D10,,None,,,Soil
None,D11,,None,,,Soil
None,D12,,None,,,Soil
RO13Organic,E01,6073,Organic,RO13,RO13,Soil
H101Organic,E02,2623,Organic,H101,H101,Soil
H5Organic,E03,837,Organic,H5,H5,Soil
RM10TopMuck,E04,1295,,RM10TopMuck,RM10TopMuck,Soil
YB2TopMuck,E05,0,,YB2TopMuck,YB2TopMuck,Soil
None,E06,,None,,,Soil
None,E07,,None,,,Soil
None,E08,,None,,,Soil
None,E09,,None,,,Soil
None,E10,,None,,,Soil
None,E11,,None,,,Soil
None,E12,,None,,,Soil
RO2Organic,F01,3134,Organic,RO2,RO2,Soil
H102Organic,F02,7067,Organic,H102,H102,Soil
H8Organic,F03,3119,Organic,H8,H8,Soil
RM10BottomMuck,F04,14,,RM10BottomMuck,RM10BottomMuck,Soil
YB9Muck,F05,141,,YB9Muck,YB9Muck,Soil
None,F06,,None,,,Soil
None,F07,,None,,,Soil
None,F08,,None,,,Soil
None,F09,,None,,,Soil
None,F10,,None,,,Soil
None,F11,,None,,,Soil
None,F12,,None,,,Soil
RO3Organic,G01,4653,Organic,RO3,RO3,Soil
H103Organic,G02,9989,Organic,H103,H103,Soil
H9Organic,G03,9413,Organic,H9,H9,Soil
RM5Muck,G04,1277,,RM5Muck,RM5Muck,Soil
None,G05,,None,,,Soil
None,G06,,None,,,Soil
None,G07,,None,,,Soil
None,G08,,None,,,Soil
None,G09,,None,,,Soil
None,G10,,None,,,Soil
None,G11,,None,,,Soil
None,G12,,None,,,Soil
RO7Organic,H01,5140,Organic,RO7,RO7,Soil
H104Organic,H02,11662,Organic,H104,H104,Soil
HX2Organic,H03,446,Organic,HX2,HX2,Soil
RMS1Aquatic,H04,97,Aquatic,RMS1,RMS1,Soil
RM301Mineral,H05,1410,Mineral,RM301,RM301,Soil
None,H06,,None,,,Soil
None,H07,,None,,,Soil
None,H08,,None,,,Soil
None,H09,,None,,,Soil
None,H10,,None,,,Soil
None,H11,,None,,,Soil
None,H12,,None,,,Soil
QUVE50SAP,A01,1405661,Outer,QUVE50SAP,QUVE50SAP,QUVE
QUVE125HEART1,A02,0,Inner,QUVE125HEART1,QUVE125HEART1,QUVE
QUVE200HEART2,A03,3447294,Inner,QUVE200HEART2,QUVE200HEART2,QUVE
QUVE400BARK1,A04,9156,Bark,QUVE400BARK1,QUVE400BARK1,QUVE
QUVEBRANCH4INT,A05,2,Branch,QUVEBRANCH4INT,QUVEBRANCH4INT,QUVE
QUVEFINE3,A06,27,Fine,QUVEFINE3,QUVEFINE3,QUVE
QUVELITTER1,A07,22652,Litter,QUVELITTER1,QUVELITTER1,QUVE
QUVEORGANIC1,A08,5309,Organic,QUVEORGANIC1,QUVEORGANIC1,QUVE
None,A09,,None,,,QUVE
None,A10,,None,,,QUVE
None,A11,,None,,,QUVE
None,A12,,None,,,QUVE
QUVE125SAP,B01,3317992,Outer,QUVE125SAP,QUVE125SAP,QUVE
QUVE200HEART1,B02,0,Inner,QUVE200HEART1,QUVE200HEART1,QUVE
QUVE400HEART2,B03,0,Inner,QUVE400HEART2,QUVE400HEART2,QUVE
QUVE600BARK1,B04,5,Bark,QUVE600BARK1,QUVE600BARK1,QUVE
QUVECOARSE1,B05,5941931,Coarse,QUVECOARSE1,QUVECOARSE1,QUVE
QUVEFINE4,B06,9,Fine,QUVEFINE4,QUVEFINE4,QUVE
QUVELITTER2,B07,194327,Litter,QUVELITTER2,QUVELITTER2,QUVE
QUVEORGANIC2,B08,1,Organic,QUVEORGANIC2,QUVEORGANIC2,QUVE
None,B09,,None,,,QUVE
None,B10,,None,,,QUVE
None,B11,,None,,,QUVE
None,B12,,None,,,QUVE
QUVE200SAP,C01,3108392,Outer,QUVE200SAP,QUVE200SAP,QUVE
QUVE400HEART1,C02,1,Inner,QUVE400HEART1,QUVE400HEART1,QUVE
QUVE600HEART2,C03,0,Inner,QUVE600HEART2,QUVE600HEART2,QUVE
QUVE800BARK1,C04,396,Bark,QUVE800BARK1,QUVE800BARK1,QUVE
QUVECOARSE2EPI,C05,4413927,Coarse,QUVECOARSE2EPI,QUVECOARSE2EPI,QUVE
QUVEFOLIAGE1,C06,8,Folige,QUVEFOLIAGE1,QUVEFOLIAGE1,QUVE
QUVELITTER3,C07,216654,Litter,QUVELITTER3,QUVELITTER3,QUVE
QUVEORGANIC3,C08,2891,Organic,QUVEORGANIC3,QUVEORGANIC3,QUVE
None,C09,,None,,,QUVE
None,C10,,None,,,QUVE
None,C11,,None,,,QUVE
None,C12,,None,,,QUVE
QUVE400SAP,D01,4487264,Outer,QUVE400SAP,QUVE400SAP,QUVE
QUVE600HEART1,D02,0,Inner,QUVE600HEART1,QUVE600HEART1,QUVE
QUVE800HEART2,D03,0,Inner,QUVE800HEART2,QUVE800HEART2,QUVE
QUVE1000BARK1,D04,1186,Bark,QUVE1000BARK1,QUVE1000BARK1,QUVE
QUVECOARSE2INT,D05,5926286,Coarse,QUVECOARSE2INT,QUVECOARSE2INT,QUVE
QUVEFOLIAGE2,D06,189,Foliage,QUVEFOLIAGE2,QUVEFOLIAGE2,QUVE
QUVELITTER4,D07,315660,Litter,QUVELITTER4,QUVELITTER4,QUVE
QUVEORGANIC4,D08,2233,Organic,QUVEORGANIC4,QUVEORGANIC4,QUVE
None,D09,,None,,,QUVE
None,D10,,None,,,QUVE
None,D11,,None,,,QUVE
None,D12,,None,,,QUVE
QUVE600SAP,E01,0,Outer,QUVE600SAP,QUVE600SAP,QUVE
QUVE800HEART1,E02,1,Inner,QUVE800HEART1,QUVE800HEART1,QUVE
QUVE1000HEART2,E03,1,Inner,QUVE1000HEART2,QUVE1000HEART2,QUVE
QUVEBRANCH1,E04,1,Branch,QUVEBRANCH1,QUVEBRANCH1,QUVE
QUVECOARSE3,E05,4209345,Coarse,QUVECOARSE3,QUVECOARSE3,QUVE
QUVEFOLIAGE3,E06,18,Foliage,QUVEFOLIAGE3,QUVEFOLIAGE3,QUVE
QUVEMINERAL1,E07,15241,Mineral,QUVEMINERAL1,QUVEMINERAL1,QUVE
None,E08,,None,,,QUVE
None,E09,,None,,,QUVE
None,E10,,None,,,QUVE
None,E11,,None,,,QUVE
None,E12,,None,,,QUVE
QUVE800SAP,F01,0,Outer,QUVE800SAP,QUVE800SAP,QUVE
QUVE1000HEART1,F02,1,Inner,QUVE1000HEART1,QUVE1000HEART1,QUVE
QUVE50BARK1,F03,9,Bark,QUVE50BARK1,QUVE50BARK1,QUVE
QUVEBRANCH2,F04,1,Branch,QUVEBRANCH2,QUVEBRANCH2,QUVE
QUVECOARSE4,F05,5357782,Coarse,QUVECOARSE4,QUVECOARSE4,QUVE
QUVEFOLIAGE4,F06,33,Foliage,QUVEFOLIAGE4,QUVEFOLIAGE4,QUVE
QUVEMINERAL2,F07,17014,Mineral,QUVEMINERAL2,QUVEMINERAL2,QUVE
None,F08,,None,,,QUVE
None,F09,,None,,,QUVE
None,F10,,None,,,QUVE
None,F11,,None,,,QUVE
None,F12,,None,,,QUVE
QUVE1000SAP,G01,3057590,Outer,QUVE1000SAP,QUVE1000SAP,QUVE
QUVE50HEART2,G02,11,Inner,QUVE50HEART2,QUVE50HEART2,QUVE
QUVE125BARK1,G03,1,Bark,QUVE125BARK1,QUVE125BARK1,QUVE
QUVEBRANCH3,G04,5,Branch,QUVEBRANCH3,QUVEBRANCH3,QUVE
QUVEFINE1,G05,3,Fine,QUVEFINE1,QUVEFINE1,QUVE
QUVEROT1,G06,15918,Rot,QUVEROT1,QUVEROT1,QUVE
QUVEMINERAL3,G07,6757,Mineral,QUVEMINERAL3,QUVEMINERAL3,QUVE
None,G08,,None,,,QUVE
None,G09,,None,,,QUVE
None,G10,,None,,,QUVE
None,G11,,None,,,QUVE
None,G12,,None,,,QUVE
QUVE50HEART1,H01,10,Inner,QUVE50HEART1,QUVE50HEART1,QUVE
QUVE125HEART2,H02,0,Inner,QUVE125HEART2,QUVE125HEART2,QUVE
QUVE200BARK1,H03,3327,Bark,QUVE200BARK1,QUVE200BARK1,QUVE
QUVEBRANCH4BARK,H04,222,Branch,QUVEBRANCH4BARK,QUVEBRANCH4BARK,QUVE
QUVEFINE2,H05,3558104,Fine,QUVEFINE2,QUVEFINE2,QUVE
QUVEROT2,H06,23844,Rot,QUVEROT2,QUVEROT2,QUVE
QUVEMINERAL4,H07,3096,Mineral,QUVEMINERAL4,QUVEMINERAL4,QUVE
None,H08,,None,,,QUVE
None,H09,,None,,,QUVE
None,H10,,None,,,QUVE
None,H11,,None,,,QUVE
None,H12,,None,,,QUVE
RM503Outer,A06,67,Outer,RM503,RM503,Wood
WP401Outer,A07,7,Outer,WP401,WP401,Wood
RO3Outer,A09,1270,Outer,RO3,RO3,Wood
YB12Outer,A10,7,Outer,YB12,YB12,Wood
RM503Inner,B06,24563,Inner,RM503,RM503,Wood
WP401Inner,B07,9,Inner,WP401,WP401,Wood
HM104Outer,B08,11,Outer,HM104,H104,Wood
RO3Inner,B09,6416,Inner,RO3,RO3,Wood
YB12Inner,B10,81,Inner,YB12,YB12,Wood
RM3Outer,C06,106,Outer,RM3,RM3,Wood
WPX7Outer,C07,16,Outer,WPX7,WPX7,Wood
HM104Inner,C08,309,Inner,HM104,H104,Wood
RO102Outer,C09,14,Outer,RO102,RO102,Wood
YBYBOuter,C10,29,Outer,YBYB,YBYB,Wood
RM3Inner,D06,232,Inner,RM3,RM3,Wood
WPX7Inner,D07,17,Inner,WPX7,WPX7,Wood
HM8Outer,D08,122,Outer,HM8,H8,Wood
RO102Inner,D09,9,Inner,RO102,RO102,Wood
YBYBInner,D10,317,Inner,YBYB,YBYB,Wood
RM14Outer,E06,37,Outer,RM14,RM14,Wood
WP7Outer,E07,13,Outer,WP7,WP7,Wood
HM8Inner,E08,6,Inner,HM8,H8,Wood
ROBowserOuter,E09,71,Outer,ROBowser,ROBowser,Wood
RM3Mineral,E10,390,Mineral,RM3,RM3,Soil
RM14Inner,F06,9910,Inner,RM14,RM14,Wood
WP7Inner,F07,83,Inner,WP7,WP7,Wood
HMX3Outer,F08,5,Outer,HMX3,HX3,Wood
ROBowserInner,F09,112,Inner,ROBowser,ROBowser,Wood
WPX7Mineral,F10,621,Mineral,WPX7,WPX7,Soil
HMX3Inner,G08,18,Inner,HMX3,HX3,Wood
HM8Mineral,G10,571,Mineral,HM8,H8,Soil
YB13Mineral,H10,606,Mineral,YB13,YB13,Soil
