Sample ID,Well,ITS_per_ul,core_type,seq_id_raw,seq_id,Material
BC1Mineral,B04,152,Mineral,BC1,BC1,Soil
RO102Mineral,B05,1230,Mineral,RO102,RO102,Soil
None,B06,,None,,,Soil
H104Mineral,B07,197,Mineral,H104,H104,Soil
HX2Mineral,B08,402,Mineral,HX2,HX2,Soil
RM2Organic,B09,2379,Organic,RM2,RM2,Soil
RM5Organic,B10,1244,Organic,RM5,RM5,Soil
SM12Organic,B11,3813,Organic,SM12,SM12,Soil
SM7Organic,B12,1421,Organic,SM7,SM7,Soil
WA5Mineral,C01,558,Mineral,WA5,WA5,Soil
None,C02,,None,,,Soil
WP8Mineral,C03,1022,Mineral,WP8,WP8,Soil
BC2Mineral,C04,349,Mineral,BC2,BC2,Soil
RO103Mineral,C05,635,Mineral,RO103,RO103,Soil
None,C06,,None,,,Soil
H2Mineral,C07,17,Mineral,H2,H2,Soil
HX3Mineral,C08,478,Mineral,HX3,HX3,Soil
RM3Organic,C09,1537,Organic,RM3,RM3,Soil
RM501Organic,C10,1046,Organic,RM501,RM501,Soil
SM13Organic,C11,2583,Organic,SM13,SM13,Soil
SM8Organic,C12,557,Organic,SM8,SM8,Soil
None,D01,,None,,,Soil
None,D02,,None,,,Soil
WP9Mineral,D03,433,Mineral,WP9,WP9,Soil
BC4Mineral,D04,1716,Mineral,BC4,BC4,Soil
RO104Mineral,D05,1170,Mineral,RO104,RO104,Soil
RO9Mineral,D06,940,Mineral,RO9,RO9,Soil
None,D07,,None,,,Soil
HX4Mineral,D08,647,Mineral,HX4,HX4,Soil
None,D09,,None,,,Soil
RM502Organic,D10,1754,Organic,RM502,RM502,Soil
SM14Organic,D11,6753,Organic,SM14,SM14,Soil
SM9Organic,D12,753,Organic,SM9,SM9,Soil
ML2Mineral,E01,661,Mineral,ML2,ML2,Soil
WP401Mineral,E02,1987,Mineral,WP401,WP401,Soil
None,E03,,None,,,Soil
WO1Mineral,E04,480,Mineral,WO1,WO1,Soil
RO105Mineral,E05,584,Mineral,RO105,RO105,Soil
BO1Mineral,E06,2977,Mineral,BO1,BO1,Soil
H301Mineral,E07,0,Mineral,H301,H301,Soil
None,E08,,None,,,Soil
None,E09,,None,,,Soil
RM503Organic,E10,2246,Organic,RM503,RM503,Soil
None,E11,,None,,,Soil
SM4Organic,E12,687,Organic,SM4,SM4,Soil
MLGPMineral,F01,3533,Mineral,MLGP,MLGP,Soil
WP402Mineral,F02,1335,Mineral,WP402,WP402,Soil
WPX2Mineral,F03,327,Mineral,WPX2,WPX2,Soil
None,F04,,None,,,Soil
None,F05,,None,,,Soil
SA1Mineral,F06,593,Mineral,SA1,SA1,Soil
None,F07,,None,,,Soil
HZ1Mineral,F08,1231,Mineral,HZ1,HZ1,Soil
RM302Organic,F09,2000,Organic,RM302,RM302,Soil
RMS1Organic,F10,1433,Organic,RMS1,RMS1,Soil
SM2Organic,F11,1105,Organic,SM2,SM2,Soil
CUL8ROrganic,F12,660,Organic,CUL8R,CUL8R,Soil
WP101Mineral,G01,414,Mineral,WP101,WP101,Soil
WP403Mineral,G02,558,Mineral,WP403,WP403,Soil
None,G03,,None,,,Soil
RO1Mineral,G04,529,Mineral,RO1,RO1,Soil
RO13Mineral,G05,2532,Mineral,RO13,RO13,Soil
H101Mineral,G06,288,Mineral,H101,H101,Soil
H5Mineral,G07,302,Mineral,H5,H5,Soil
RM1Organic,G08,4919,Organic,RM1,RM1,Soil
RM303Organic,G09,1398,Organic,RM303,RM303,Soil
SM1Organic,G10,10121,Organic,SM1,SM1,Soil
SM3Organic,G11,3158,Organic,SM3,SM3,Soil
YB10Organic,G12,4160,Organic,YB10,YB10,Soil
None,H01,,None,,,Soil
WP5Mineral,H02,398,Mineral,WP5,WP5,Soil
WPX5Mineral,H03,680,Mineral,WPX5,WPX5,Soil
RO10Mineral,H04,464,Mineral,RO10,RO10,Soil
RO2Mineral,H05,424,Mineral,RO2,RO2,Soil
H102Mineral,H06,0,Mineral,H102,H102,Soil
None,H07,,None,,,Soil
None,H08,,None,,,Soil
RM304Organic,H09,2007,Organic,RM304,RM304,Soil
SM10Organic,H10,902,Organic,SM10,SM10,Soil
SM5Organic,H11,4127,Organic,SM5,SM5,Soil
YB11Organic,H12,764,Organic,YB11,YB11,Soil
RM1Outer,A01,25484271,Outer,RM1,RM1,Wood
RM303Outer,A02,Undetected,Outer,RM303,RM303,Wood
SM1Outer,A03,Undetected,Outer,SM1,SM1,Wood
SM3Outer,A04,Undetected,Outer,SM3,SM3,Wood
YB10Outer,A05,Undetected,Outer,YB10,YB10,Wood
None,A06,,None,,,Wood
None,A07,,None,,,Wood
BB5Outer,A08,37498990,Outer,BB5,BB5,Wood
BBX7Outer,A09,48618923,Outer,BBX7,BBX7,Wood
AB1Outer,A10,Undetected,Outer,AB1,AB1,Wood
AB5Outer,A11,33590343,Outer,AB5,AB5,Wood
WA101Outer,A12,5,Outer,WA101,WA101,Wood
RM10Outer,B01,16,Outer,RM10,RM10,Wood
RM304Outer,B02,35130149,Outer,RM304,RM304,Wood
SM10Outer,B03,Undetected,Outer,SM10,SM10,Wood
SM5Outer,B04,Undetected,Outer,SM5,SM5,Wood
YB11Outer,B05,2,Outer,YB11,YB11,Wood
None,B06,,None,,,Wood
None,B07,,None,,,Wood
BB6Outer,B08,38071809,Outer,BB6,BB6,Wood
PB1Outer,B09,Undetected,Outer,PB1,PB1,Wood
AB10Outer,B10,Undetected,Outer,AB10,AB10,Wood
AB501Outer,B11,Undetected,Outer,AB501,AB501,Wood
WA102Outer90a,B12,197,er90a,WA102Out,WA102,Wood
None,C01,,None,,,Wood
RM4Outer,C02,1,Outer,RM4,RM4,Wood
SM11Outer,C03,40719446,Outer,SM11,SM11,Wood
SM6Outer,C04,1,Outer,SM6,SM6,Wood
YB11primeOuter,C05,Undetected,Outer,YB11prime,YB11',Wood
None,C06,,None,,,Wood
None,C07,,None,,,Wood
BB7Outer,C08,39738393,Outer,BB7,BB7,Wood
PB2Outer,C09,Undetected,Outer,PB2,PB2,Wood
AB11Outer,C10,Undetected,Outer,AB11,AB11,Wood
AB6Outer,C11,5053160,Outer,AB6,AB6,Wood
WA102Outer91a,C12,16,,WA102Outer91a,WA102,Wood
RM2Outer,D01,22873143,Outer,RM2,RM2,Wood
RM5Outer,D02,2,Outer,RM5,RM5,Wood
SM12Outer,D03,35292612,Outer,SM12,SM12,Wood
SM7Outer,D04,Undetected,Outer,SM7,SM7,Wood
None,D05,,None,,,Wood
None,D06,,None,,,Wood
None,D07,,None,,,Wood
BB8Outer,D08,Undetected,Outer,BB8,BB8,Wood
PB3Outer,D09,Undetected,Outer,PB3,PB3,Wood
AB2Outer,D10,40212674,Outer,AB2,AB2,Wood
AB6primeOuter,D11,4889339,Outer,AB6prime,AB6',Wood
WA103Outer,D12,30568878,Outer,WA103,WA103,Wood
None,E01,,None,,,Wood
RM501Outer,E02,36021170,Outer,RM501,RM501,Wood
SM13Outer,E03,37081149,Outer,SM13,SM13,Wood
SM8Outer,E04,Undetected,Outer,SM8,SM8,Wood
YB13Outer,E05,39529401,Outer,YB13,YB13,Wood
None,E06,,None,,,Wood
None,E07,,None,,,Wood
BB9Outer,E08,46212924,Outer,BB9,BB9,Wood
PB4Outer,E09,Undetected,Outer,PB4,PB4,Wood
AB3Outer,E10,40001187,Outer,AB3,AB3,Wood
AB9Outer,E11,Undetected,Outer,AB9,AB9,Wood
WA103starOuter,E12,10,Outer,WA103star,WA103*,Wood
RM301AOuter,F01,3,Outer,RM301A,RM301A,Wood
RM502Outer,F02,40585469,Outer,RM502,RM502,Wood
SM14Outer,F03,37154545,Outer,SM14,SM14,Wood
SM9Outer,F04,39607644,Outer,SM9,SM9,Wood
YB14Outer,F05,Undetected,Outer,YB14,YB14,Wood
None,F06,,None,,,Wood
None,F07,,None,,,Wood
BBGT1Outer,F08,2048279,Outer,BBGT1,BBGT1,Wood
PB5Outer,F09,Undetected,Outer,PB5,PB5,Wood
AB3slash5Outer,F10,35831727,Outer,AB3slash5,AB3/5,Wood
ABT14POuter,F11,4226560,Outer,ABT14P,ABT14P,Wood
WA104Outer,F12,395,Outer,WA104,WA104,Wood
RM301BOuter,G01,33391668,Outer,RM301B,RM301B,Wood
None,G02,,None,,,Wood
SM15Outer,G03,Undetected,Outer,SM15,SM15,Wood
SM4Outer,G04,Undetected,Outer,SM4,SM4,Wood
YB15Outer,G05,Undetected,Outer,YB15,YB15,Wood
None,G06,,None,,,Wood
None,G07,,None,,,Wood
BBX1Outer,G08,Undetected,Outer,BBX1,BBX1,Wood
PB501Outer,G09,Undetected,Outer,PB501,PB501,Wood
AB4Outer,G10,Undetected,Outer,AB4,AB4,Wood
WA1Outer,G11,18,Outer,WA1,WA1,Wood
WA12Outer,G12,Undetected,Outer,WA12,WA12,Wood
RM302Outer,H01,34945393,Outer,RM302,RM302,Wood
RMS1Outer,H02,Undetected,Outer,RMS1,RMS1,Wood
SM2Outer,H03,Undetected,Outer,SM2,SM2,Wood
CUL8ROuter,H04,4116581,Outer,CUL8R,CUL8R,Wood
YB2Outer,H05,5,Outer,YB2,YB2,Wood
None,H06,,None,,,Wood
None,H07,,None,,,Wood
BBX6Outer,H08,Undetected,Outer,BBX6,BBX6,Wood
SH1Outer,H09,Undetected,Outer,SH1,SH1,Wood
AB4slash6Outer,H10,Undetected,Outer,AB4slash6,AB4/6,Wood
WA10Outer,H11,Undetected,Outer,WA10,WA10,Wood
WA14Outer96a,H12,Undetected,er96a,WA14Out,WA14,Wood
WA14Outer97a,A01,76,er97a,WA14Out,WA14,Wood
WP103Outer,A02,8,Outer,WP103,WP103,Wood
None,A03,,None,,WP6,Wood
None,A04,,None,,,Wood
RO101Outer,A05,1,Outer,RO101,RO101,Wood
None,A06,,None,,,Wood
H103Outer,A07,0,Outer,H103,H103,Wood
H9Outer,A08,0,Outer,H9,H9,Wood
None,A09,,None,,,Wood
RM4Inner,A10,65,Inner,RM4,RM4,Wood
SM11Inner,A11,41,Inner,SM11,SM11,Wood
SM6Inner,A12,28,Inner,SM6,SM6,Wood
WA15Outer,B01,115,Outer,WA15,WA15,Wood
WP2Outer,B02,10,Outer,WP2,WP2,Wood
None,B03,,None,,,Wood
BC1Outer,B04,0,Outer,BC1,BC1,Wood
None,B05,,None,,,Wood
RO7Outer,B06,25,Outer,RO7,RO7,Wood
None,B07,,None,,,Wood
HX2Outer,B08,0,Outer,HX2,HX2,Wood
RM2Inner,B09,194,Inner,RM2,RM2,Wood
RM5Inner,B10,136,Inner,RM5,RM5,Wood
SM12Inner,B11,29,Inner,SM12,SM12,Wood
SM7Inner,B12,16,Inner,SM7,SM7,Wood
WA5Outer,C01,0,Outer,WA5,WA5,Wood
WP3Outer,C02,517,Outer,WP3,WP3,Wood
WP8Outer,C03,9,Outer,WP8,WP8,Wood
BC2Outer,C04,1,Outer,BC2,BC2,Wood
RO103Outer,C05,1,Outer,RO103,RO103,Wood
RO8Outer,C06,2,Outer,RO8,RO8,Wood
H2Outer,C07,0,Outer,H2,H2,Wood
None,C08,,None,,,Wood
None,C09,,None,,,Wood
RM501Inner,C10,65,Inner,RM501,RM501,Wood
SM13Inner,C11,3,Inner,SM13,SM13,Wood
SM8Inner,C12,48,Inner,SM8,SM8,Wood
WAX1Outer,D01,28,Outer,WAX1,WAX1,Wood
WP4Outer,D02,14,Outer,WP4,WP4,Wood
WP9Outer,D03,2,Outer,WP9,WP9,Wood
BC4Outer,D04,1,Outer,BC4,BC4,Wood
RO104Outer,D05,35,Outer,RO104,RO104,Wood
RO9Outer,D06,0,Outer,RO9,RO9,Wood
H3Outer,D07,2,Outer,H3,H3,Wood
HX4Outer,D08,2,Outer,HX4,HX4,Wood
RM301AInner,D09,15,Inner,RM301A,RM301A,Wood
RM502Inner,D10,1482,Inner,RM502,RM502,Wood
SM14Inner,D11,23,Inner,SM14,SM14,Wood
SM9Inner,D12,14,Inner,SM9,SM9,Wood
ML2Outer,E01,49,Outer,ML2,ML2,Wood
None,E02,,None,,,Wood
WPBERENICEOuter,E03,11,Outer,WPBERENICE,WPBERENICE,Wood
WO1Outer,E04,357,Outer,WO1,WO1,Wood
RO105Outer,E05,16,Outer,RO105,RO105,Wood
BO1Outer,E06,1,Outer,BO1,BO1,Wood
H301Outer,E07,0,Outer,H301,H301,Wood
HX5Outer,E08,2,Outer,HX5,HX5,Wood
RM301BInner,E09,25,Inner,RM301B,RM301B,Wood
None,E10,,None,,,Wood
SM15Inner,E11,31,Inner,SM15,SM15,Wood
SM4Inner,E12,30,Inner,SM4,SM4,Wood
MLGPOuter,F01,102,Outer,MLGP,MLGP,Wood
WP402Outer,F02,13,Outer,WP402,WP402,Wood
None,F03,,None,,,Wood
None,F04,,None,,,Wood
RO11Outer,F05,897,Outer,RO11,RO11,Wood
SA1Outer,F06,9,Outer,SA1,SA1,Wood
H4Outer,F07,2,Outer,H4,H4,Wood
HZ1Outer,F08,0,Outer,HZ1,HZ1,Wood
RM302Inner,F09,1977,Inner,RM302,RM302,Wood
UnknownACSASM1orACRURMS1,F10,58,URMS1,UnknownACSASM1orACR,UnknownACSASM1orACR,Wood
SM2Inner,F11,14,Inner,SM2,SM2,Wood
CUL8RInner,F12,3,Inner,CUL8R,CUL8R,Wood
WP101Outer,G01,28,Outer,WP101,WP101,Wood
WP403Outer,G02,5,Outer,WP403,WP403,Wood
WPX22Outer,G03,1,Outer,WPX22,WPX22,Wood
RO1Outer,G04,41,Outer,RO1,RO1,Wood
RO13Outer,G05,1,Outer,RO13,RO13,Wood
H101Outer,G06,1,Outer,H101,H101,Wood
H5Outer,G07,1,Outer,H5,H5,Wood
RM1Inner,G08,2955,Inner,RM1,RM1,Wood
RM303Inner,G09,12,Inner,RM303,RM303,Wood
