	QUVE1000BARK1.ITS.S471	QUVE1000HEART1.ITS.S473	QUVE1000HEART2.ITS.S475	QUVE1000SAP.ITS.S477	QUVE125BARK1.ITS.S479	QUVE125HEART1.ITS.S481	QUVE125HEART2.ITS.S483	QUVE125SAP.ITS.S485	QUVE200BARK1.ITS.S487	QUVE200HEART1.ITS.S489	QUVE200HEART2.ITS.S491	QUVE200SAP.ITS.S493	QUVE400BARK1.ITS.S495	QUVE400HEART1.ITS.S497	QUVE400HEART2.ITS.S499	QUVE400SAP.ITS.S501	QUVE50BARK1.ITS.S503	QUVE50HEART1.ITS.S505	QUVE50HEART2.ITS.S507	QUVE50SAP.ITS.S509	QUVE600BARK1.ITS.S511	QUVE600HEART1.ITS.S513	QUVE600HEART2.ITS.S515	QUVE600SAP.ITS.S517	QUVE800BARK1.ITS.S519	QUVE800HEART1.ITS.S521	QUVE800HEART2.ITS.S523	QUVE800SAP.ITS.S525	QUVEBRANCH1.ITS.S527	QUVEBRANCH2.ITS.S529	QUVEBRANCH3.ITS.S531	QUVEBRANCH4BARK.ITS.S533	QUVEBRANCH4INT.ITS.S535	QUVECOARSE1.ITS.S537	QUVECOARSE2EPI.ITS.S539	QUVECOARSE2INT.ITS.S541	QUVECOARSE3.ITS.S543	QUVECOARSE4.ITS.S545	QUVEFINE1.ITS.S547	QUVEFINE2.ITS.S549	QUVEFINE3.ITS.S551	QUVEFINE4.ITS.S553	QUVEFOLIAGE1.ITS.S555	QUVEFOLIAGE2.ITS.S557	QUVEFOLIAGE3.ITS.S559	QUVEFOLIAGE4.ITS.S561	QUVELITTER1.ITS.S563	QUVELITTER2.ITS.S565	QUVELITTER3.ITS.S567	QUVELITTER4.ITS.S569	QUVEMINERAL1.ITS.S571	QUVEMINERAL2.ITS.S573	QUVEMINERAL3.ITS.S575	QUVEMINERAL4.ITS.S577	QUVEORGANIC1.ITS.S579	QUVEORGANIC2.ITS.S581	QUVEORGANIC3.ITS.S583	QUVEORGANIC4.ITS.S585	QUVEROT1.ITS.S587	QUVEROT2.ITS.S589	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1	0	532	505	1537	66	136	171	1332	0	340	38	383	0	187	4386	1545	0	125	122	0	0	41	339	4984	92	211	175	4077	583	602	2577	713	4248	15	0	0	0	0	25	42	0	93	3032	2311	2967	1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq2	0	352	496	1086	68	92	70	837	0	115	87	185	0	99	2478	1835	0	64	101	0	0	26	126	2538	56	26	118	1961	387	359	1540	391	4105	0	0	0	29	0	9	18	0	25	2017	1396	1820	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14004	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Physalacriaceae	g__Armillaria	s__borealis
seq4	165	417	3412	0	385	865	936	0	119	303	145	0	0	0	0	0	0	227	270	0	4036	712	130	0	1412	55	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales			
seq5	0	0	0	0	0	0	0	0	0	853	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	9235	0	0	0	0	0	0	0	0	26	0	623	0	0	96	159	2458	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	
seq6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3714	4165	3871	1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriaceae	g__Botryosphaeria	s__fabicerciana
seq7	0	0	0	0	2000	1171	915	0	0	420	0	0	0	0	0	0	0	3285	3970	0	0	0	0	0	215	0	150	5	406	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq8	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9888	0	0	0	0	4	0	0	0	0	0	821	4	0	0	2	193	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	
seq9	0	3011	4355	0	987	0	0	0	0	142	761	574	0	0	0	0	0	0	0	0	0	0	0	0	214	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775	7202	1117	1053	0	0	6	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	g__Cylindrosympodium	s__variabile
seq11	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	197	0	0	0	8270	0	1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycena	s__meliigena
seq12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	189	4479	4670	0	7	0	0	0	0	12	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariales_fam_Incertae_sedis		
seq13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3543	1274	3075	1452	0	0	4	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales			
seq14	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	3514	5083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Paecilomyces	s__saturatus
seq15	4604	202	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	1499	89	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Menispora	s__tortuosa
seq16	0	0	147	514	0	0	0	189	0	0	0	0	0	0	943	448	0	0	0	0	0	0	0	676	0	0	0	870	199	0	659	222	917	0	0	0	0	0	0	0	0	0	937	666	614	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8055	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Physalacriaceae	g__Armillaria	s__borealis
seq18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7409	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Exidiaceae	g__Basidiodendron	
seq19	8	2976	767	0	0	0	0	0	0	0	262	0	0	163	0	0	0	0	0	0	104	0	1290	0	1659	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
seq20	0	65	0	0	1597	0	0	665	0	0	0	0	0	0	0	0	0	0	64	0	0	0	363	486	0	0	785	0	0	0	0	0	0	0	577	0	288	0	0	0	0	0	0	0	79	49	0	0	0	0	0	0	0	0	1923	409	0	0	0	11	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Lactifluus	
seq21	0	58	121	217	0	40	20	187	0	36	0	80	0	0	884	496	0	0	0	0	0	0	50	1006	0	37	43	886	120	81	446	112	825	0	0	0	0	0	0	0	0	0	549	368	508	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq22	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	6732	0	0	0	0	0	0	0	0	33	0	35	0	0	0	0	16	0	0	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae		
seq23	0	0	135	0	0	0	0	0	0	0	0	0	0	686	0	0	0	27	0	0	0	0	0	0	0	0	6100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi						
seq24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5454	1112	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__amarissima
seq25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6378	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Exidiaceae	g__Basidiodendron	
seq26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3299	0	0	0	0	0	0	0	0	0	0	932	0	0	628	289	666	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	
seq27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	3	908	5181	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales			
seq28	0	0	0	0	1207	0	0	0	0	0	0	0	0	0	707	0	0	0	58	0	56	0	290	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	31	0	0	0	0	8	39	0	0	3527	0	10	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Lactifluus	
seq29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	478	2921	1012	1451	0	0	6	5	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Tremellomycetes				
seq30	0	0	241	0	3160	35	0	0	0	0	0	0	0	0	0	0	0	1070	1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1664	1457	1171	1404	0	0	23	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Cryptocline	
seq32	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	805	0	23	3545	0	0	0	0	0	0	0	0	313	16	806	0	0	0	0	39	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidales	f__Gloniaceae	g__Cenococcum	s__geophilum
seq33	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	115	206	0	1576	72	1049	2358	0	66	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
seq34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1213	0	0	83	0	0	0	0	0	0	0	0	4209	0	0	0	33	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Tricholoma	
seq35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2081	3155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	0	207	0	0	0	0	0	0	0	0	2991	0	1123	0	0	0	0	27	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Tricholoma	
seq37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1693	468	2247	611	0	0	0	0	31	0	0	0	0	0	0	0	120	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq38	0	0	48	0	0	0	0	0	0	3284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1721	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq39	0	0	0	0	1779	0	0	0	0	0	0	0	0	0	0	0	0	42	85	0	253	2664	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales			
seq40	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1154	304	2001	1195	0	0	2	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales			
seq41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2451	81	200	1513	0	0	0	0	5	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Herpotrichia	s__juniperi
seq43	0	0	3255	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	148	0	0	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Pleurotheciales	f__Pleurotheciaceae	g__Anapleurothecium	s__botulisporum
seq44	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	112	0	983	0	0	0	398	2246	0	0	k__Fungi						
seq45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2884	0	1029	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota					
seq46	0	0	1481	0	0	585	479	0	0	89	0	0	0	72	115	0	0	24	0	0	356	329	68	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes				
seq47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2867	220	253	144	0	0	0	0	22	0	0	0	0	0	0	56	40	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq48	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	1674	471	648	4	0	0	0	0	164	5	0	0	2	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	g__Cylindrosympodium	s__variabile
seq49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2782	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycena	s__meliigena
seq50	16	0	3183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales			
seq51	0	0	42	0	0	369	320	0	0	1147	150	0	0	172	0	0	0	186	28	0	186	249	396	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariomycetes_ord_Incertae_sedis	f__Sordariomycetes_fam_Incertae_sedis	g__Distoseptispora	
seq52	0	1258	1047	0	96	0	0	0	0	0	0	0	0	57	0	0	0	0	20	0	20	88	0	0	567	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	704	599	1575	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Pezicula	s__alnicola
seq54	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	0	0	0	933	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi						
seq55	0	0	0	0	0	1099	1551	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq56	0	0	0	0	0	0	0	0	0	0	476	0	0	689	0	0	0	174	158	0	0	0	0	0	0	0	1666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Phaeomoniellales	f__Phaeomoniellaceae		
seq57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3116	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	s__virgineum
seq58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	135	1267	1002	171	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3081	0	0	0	0	26	12	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__rubellipes
seq60	0	2470	375	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	835	0	1310	0	0	0	552	36	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__crustosa
seq62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	750	519	827	0	0	10	0	0	129	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae		
seq63	0	0	0	0	0	0	0	0	0	0	494	0	0	194	295	0	0	0	0	0	0	1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq64	0	0	72	0	0	0	0	0	0	1288	0	0	0	1309	0	0	0	72	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes				
seq65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2446	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellaceae	g__Craterellus	s__fallax
seq66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	2691	0	0	0	0	20	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	
seq67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2775	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Lactifluus	
seq68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	2592	28	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Lactifluus	s__volemus
seq69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2361	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	
seq70	0	979	0	0	0	253	285	0	0	0	0	0	0	0	0	0	0	283	375	0	420	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
seq71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1166	1402	37	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Elaphomycetaceae	g__Elaphomyces	s__muricatus
seq72	0	0	60	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	310	230	331	0	541	0	201	418	0	42	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__humilis
seq73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	81	29	0	173	203	886	993	0	62	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__Umbelopsidales	f__Umbelopsidaceae	g__Umbelopsis	s__dimorpha
seq74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	644	713	678	461	0	0	13	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Dothioraceae	g__Dothiora	
seq75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	926	523	807	0	0	8	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2451	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	g__Entoloma	
