	QUVE1000BARK1.ITS.S471	QUVE1000HEART1.ITS.S473	QUVE1000HEART2.ITS.S475	QUVE1000SAP.ITS.S477	QUVE125BARK1.ITS.S479	QUVE125HEART1.ITS.S481	QUVE125HEART2.ITS.S483	QUVE125SAP.ITS.S485	QUVE200BARK1.ITS.S487	QUVE200HEART1.ITS.S489	QUVE200HEART2.ITS.S491	QUVE200SAP.ITS.S493	QUVE400BARK1.ITS.S495	QUVE400HEART1.ITS.S497	QUVE400HEART2.ITS.S499	QUVE400SAP.ITS.S501	QUVE50BARK1.ITS.S503	QUVE50HEART1.ITS.S505	QUVE50HEART2.ITS.S507	QUVE50SAP.ITS.S509	QUVE600BARK1.ITS.S511	QUVE600HEART1.ITS.S513	QUVE600HEART2.ITS.S515	QUVE600SAP.ITS.S517	QUVE800BARK1.ITS.S519	QUVE800HEART1.ITS.S521	QUVE800HEART2.ITS.S523	QUVE800SAP.ITS.S525	QUVEBRANCH1.ITS.S527	QUVEBRANCH2.ITS.S529	QUVEBRANCH3.ITS.S531	QUVEBRANCH4BARK.ITS.S533	QUVEBRANCH4INT.ITS.S535	QUVECOARSE1.ITS.S537	QUVECOARSE2EPI.ITS.S539	QUVECOARSE2INT.ITS.S541	QUVECOARSE3.ITS.S543	QUVECOARSE4.ITS.S545	QUVEFINE1.ITS.S547	QUVEFINE2.ITS.S549	QUVEFINE3.ITS.S551	QUVEFINE4.ITS.S553	QUVEFOLIAGE1.ITS.S555	QUVEFOLIAGE2.ITS.S557	QUVEFOLIAGE3.ITS.S559	QUVEFOLIAGE4.ITS.S561	QUVELITTER1.ITS.S563	QUVELITTER2.ITS.S565	QUVELITTER3.ITS.S567	QUVELITTER4.ITS.S569	QUVEMINERAL1.ITS.S571	QUVEMINERAL2.ITS.S573	QUVEMINERAL3.ITS.S575	QUVEMINERAL4.ITS.S577	QUVEORGANIC1.ITS.S579	QUVEORGANIC2.ITS.S581	QUVEORGANIC3.ITS.S583	QUVEORGANIC4.ITS.S585	QUVEROT1.ITS.S587	QUVEROT2.ITS.S589	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales			
seq790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	14	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Myriangiales			
seq791	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae		
seq792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota					
seq793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycena	s__meliigena
seq794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__mors-panacis
seq795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	17	0	0	0	32	8	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Monocillium	s__griseo-ochraceum
seq796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Septoria	s__cretae
seq797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	32	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales			
seq798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__chaetospira
