Feature ID	Taxon
seq1	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq2	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq3	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq4	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq5	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq6	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq7	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq8	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq9	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq10	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq11	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq12	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq13	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq14	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq15	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq16	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq17	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq18	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq19	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq20	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq21	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq22	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq23	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq24	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq25	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq26	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq27	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq28	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq29	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq30	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq31	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq32	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
