	QUVE200HEART2.16S.S490	QUVE200SAP.16S.S492	QUVE400BARK1.16S.S494	QUVE400HEART1.16S.S496	QUVE400HEART2.16S.S498	QUVE400SAP.16S.S500	QUVE50BARK1.16S.S502	QUVE50HEART1.16S.S504	QUVE50HEART2.16S.S506	QUVE50SAP.16S.S508	QUVE600BARK1.16S.S510	QUVE600HEART1.16S.S512	QUVE600HEART2.16S.S514	QUVE600SAP.16S.S516	QUVE800BARK1.16S.S518	QUVE800HEART1.16S.S520	QUVE800HEART2.16S.S522	QUVE800SAP.16S.S524	QUVEBRANCH1.16S.S526	QUVEBRANCH2.16S.S528	QUVEBRANCH3.16S.S530	QUVEBRANCH4BARK.16S.S532	QUVEBRANCH4INT.16S.S534	QUVECOARSE1.16S.S536	QUVECOARSE2EPI.16S.S538	QUVECOARSE2INT.16S.S540	QUVECOARSE3.16S.S542	QUVECOARSE4.16S.S544	QUVEFINE1.16S.S546	QUVEFINE2.16S.S548	QUVEFINE3.16S.S550	QUVEFINE4.16S.S552	QUVEFOLIAGE1.16S.S554	QUVEFOLIAGE2.16S.S556	QUVEFOLIAGE3.16S.S558	QUVEFOLIAGE4.16S.S560	QUVELITTER1.16S.S562	QUVELITTER2.16S.S564	QUVELITTER3.16S.S566	QUVELITTER4.16S.S568	QUVEMINERAL1.16S.S570	QUVEMINERAL2.16S.S572	QUVEMINERAL3.16S.S574	QUVEMINERAL4.16S.S576	QUVEORGANIC1.16S.S578	QUVEORGANIC2.16S.S580	QUVEORGANIC3.16S.S582	QUVEORGANIC4.16S.S584	QUVEROT1.16S.S586	QUVEROT2.16S.S588	QUVE125HEART2.16S.S482	QUVE125SAP.16S.S484	QUVE1000SAP.16S.S476	QUVE125HEART1.16S.S480	QUVE200BARK1.16S.S486	QUVE200HEART1.16S.S488	QUVE1000HEART2.16S.S474	QUVE1000BARK1.16S.S470	QUVE125BARK1.16S.S478	QUVE1000HEART1.16S.S472	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq28	0	135	0	0	244	57	0	0	0	34	0	0	39	26	0	68	11	123	49	63	242	66	343	0	0	0	0	0	0	0	0	0	409	325	242	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	75	0	0	0	0	0	23	35	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq29	0	139	0	41	84	61	0	0	0	281	0	0	60	92	0	37	29	92	21	26	0	0	0	128	266	188	102	281	46	221	0	52	78	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	92	219	163	0	0	34	0	0	123	27	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq30	702	0	0	158	160	0	0	35	65	0	0	275	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	111	0	704	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	
seq31	13	130	0	22	54	51	0	0	69	299	0	0	74	71	0	32	29	74	18	31	15	0	0	128	250	166	112	232	28	194	0	0	83	0	17	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	79	213	149	36	0	26	63	0	91	26	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq32	621	0	0	161	142	0	0	22	83	0	0	297	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	150	0	658	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	
seq33	0	146	0	39	62	56	0	0	0	285	0	0	63	62	0	33	71	103	54	23	0	0	0	164	243	210	79	243	29	196	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	91	194	143	0	0	39	0	0	104	48	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq34	0	119	0	0	215	96	0	0	0	37	0	0	0	36	0	0	0	123	71	51	185	65	296	0	0	0	0	0	0	0	0	0	420	273	242	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	51	0	0	0	0	0	31	57	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq35	0	120	0	33	50	46	0	0	0	255	0	0	58	60	0	34	36	87	21	61	0	0	84	145	207	181	75	219	33	183	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	57	200	124	0	0	54	23	0	116	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq36	571	0	0	135	135	0	0	21	62	0	0	277	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	104	0	654	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	
seq37	17	126	0	72	39	52	0	46	0	237	0	0	50	87	0	88	53	102	54	0	21	0	0	123	193	151	82	219	48	156	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	61	153	159	11	0	30	0	0	75	60	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
